timestamp,accx,accy,accz,gyrox,gyroy,gyroz,label
0,0.04,0.08,-0.97,3.17,-1.53,-0.06,2
0.05,0.02,0.09,-0.98,3.91,-0.37,0.67,2
0.1,0.02,0.09,-0.99,0.61,0.49,-0.24,2
0.15,0.03,0.08,-0.98,-0.49,0.06,0,2
0.2,0.02,0.07,-0.99,0.31,1.1,0,2
0.25,0.03,0.07,-0.98,-0.24,-0.24,0.67,2
0.3,0.02,0.07,-0.99,-1.22,2.32,0.37,2
0.35,0.02,0.07,-0.97,-3.85,2.81,2.5,2
0.4,0,0.06,-1,0.85,0.43,0.73,2
0.45,0,0.05,-1,3.3,0.73,-0.12,2
0.5,0.01,0.07,-0.97,2.62,0.85,-0.12,2
0.55,0,0.07,-0.99,-0.12,1.22,1.04,2
0.6,-0.01,0.06,-1,0.67,0.85,-0.12,2
0.65,-0.01,0.08,-0.98,-1.83,-4.09,-0.31,2
0.7,0,0.05,-0.99,0.24,-2.01,-1.28,2
0.75,0.02,0.04,-0.97,-1.89,-2.08,-0.43,2
0.8,0.01,0.03,-1,0.98,-1.28,0.37,2
0.85,0,0.04,-0.98,0.92,-1.77,0.31,2
0.9,0,0.04,-1,-0.24,-2.75,-0.12,2
0.95,0.01,0.03,-0.97,-0.37,-1.28,-0.06,2
1,0,0.02,-1,-0.18,-1.46,-0.24,2
1.05,0.03,0.03,-0.99,0.67,-2.08,-0.24,2
1.1,0.01,0.03,-0.99,0.06,-2.99,-0.61,2
1.15,0,0.01,-1.02,1.53,-1.71,-0.37,2
1.2,0.02,0.03,-0.97,0.67,-2.08,-0.31,2
1.25,0,0.02,-1,0.61,-1.59,-0.31,2
1.3,0.01,0.02,-0.99,1.4,-2.14,-0.24,2
1.35,0.01,0.02,-1,0.24,-2.81,-0.18,2
1.4,0.01,0.02,-0.98,1.04,-0.61,0,2
1.45,0.01,0.01,-0.98,2.99,-1.1,-0.37,2
1.5,0,0.03,-0.99,3.23,-0.79,-0.31,2
1.55,0.01,0.02,-0.99,2.5,0.18,-0.31,2
1.6,0.01,0.02,-0.97,1.71,-1.53,-0.55,2
1.65,0,0,-1.03,2.26,-0.24,-0.12,2
1.7,0.01,0.02,-0.99,2.5,-2.62,-0.12,2
1.75,0,0.02,-1,2.14,-1.83,-0.24,2
1.8,0,0.02,-0.99,2.56,-1.28,-0.24,2
1.85,0.01,0.02,-0.98,1.59,-1.59,-0.49,2
1.9,0.01,0.01,-1,2.5,-1.71,-0.37,2
1.95,0.02,0.02,-0.98,2.44,-0.79,0.24,2
2,0,0.02,-0.99,3.3,-0.98,0.31,2
2.05,-0.01,0.03,-1,2.5,-0.55,0.85,2
2.1,-0.01,0.03,-0.99,1.95,-1.77,0.31,2
2.15,0,0.03,-0.99,1.53,-2.2,-0.12,2
2.2,0,0.02,-1,1.95,-0.85,-1.1,2
2.25,0.01,0,-1,1.95,-1.22,-0.24,2
2.3,0.01,0.02,-0.98,2.75,-2.5,-0.55,2
2.35,0.01,0.01,-0.98,0.79,-1.1,-0.43,2
2.4,0,0.01,-1,0.98,-0.67,-0.24,2
2.45,0.01,0.01,-0.98,0.73,-1.46,0.12,2
2.5,0,0.01,-1,0.98,-1.1,0.06,2
2.55,0.01,0.01,-0.98,0.79,-0.79,-0.24,2
2.6,0,0,-1,0.49,-0.24,-0.37,2
2.65,0,0.01,-1,2.08,-0.98,-0.06,2
2.7,0,0.01,-0.98,2.08,-1.28,-0.43,2
2.75,0,0,-1,2.32,-0.55,-0.31,2
2.8,0,0,-0.99,1.77,-1.22,0.24,2
2.85,0.01,0,-0.98,1.1,-1.1,-0.24,2
2.9,0.01,0,-0.97,2.32,-1.59,0,2
2.95,-0.01,0.02,-1.02,3.54,-1.04,-0.18,2
3,0,0.01,-0.99,3.66,-0.98,-0.85,2
3.05,0,0.01,-0.99,1.77,-1.34,-0.61,2
3.1,0,0.01,-1,1.95,-0.79,-0.24,2
3.15,0,0,-0.99,2.69,-0.24,-0.43,2
3.2,0,0,-0.99,2.08,-0.98,-0.37,2
3.25,0,0,-0.99,2.14,-0.73,0.12,2
3.3,0,0.01,-0.99,1.83,-1.59,-0.67,2
3.35,0,0.01,-0.99,2.08,-1.65,-0.18,2
3.4,0.01,0.01,-0.96,2.44,-2.26,-0.06,2
3.45,0,0,-0.98,1.28,-0.79,-0.24,2
3.5,-0.01,0,-1,1.65,0,0.37,2
3.55,-0.01,0.02,-1,2.32,-0.92,-0.37,2
3.6,0,0,-0.99,1.53,-1.04,-0.43,2
3.65,-0.01,0,-1.01,2.14,-1.16,-0.06,2
3.7,0,0.02,-0.98,2.26,-0.67,0.06,2
3.75,-0.01,0.01,-0.99,1.53,-2.44,-0.12,2
3.8,-0.01,0.01,-0.99,1.53,-0.24,-0.18,2
3.85,0,0,-0.99,1.53,-1.71,-0.18,2
3.9,-0.01,0,-0.99,2.32,-1.04,-0.12,2
3.95,0,0.01,-0.99,2.56,-2.26,-0.06,2
